WT,E1,E2,E3,E4,E56,E12,E14,E23
1,0.854479875,0.530018732,0.706436858,0.824868544,1.033682068,0.398423954,0.66078916,0.296843318
1,0.821812496,0.593130035,0.749880582,0.801460689,1.098960402,0.397729161,0.611291743,0.353382009
1,0.75477642,0.56941296,0.73528726,0.763618658,1.031394593,0.371967582,0.567039506,0.318543181
1,0.844331297,0.594441073,0.702409242,0.8109646,0.854096448,0.383882019,0.59858337,0.282125722
1,0.783964207,0.597124121,0.701339343,0.79327697,0.994108494,0.402156453,0.586006419,0.31386834
1,0.799468732,0.653999336,0.734637467,0.794067119,0.933274908,0.390229148,0.620763715,0.301521098
1,0.773497346,0.643503074,0.736669006,0.922234681,1.047345918,0.39087023,0.586215626,0.314912646
1,0.729767708,0.570469122,0.706805436,0.855871987,0.837153023,0.39659834,0.552794742,0.324952135
1,0.716173013,0.608901049,0.667039273,0.790165354,0.994149099,0.392565058,0.610140885,0.299968362
1,0.721728907,0.539000498,0.659495534,0.743471399,0.875835047,0.375578054,0.606374834,0.293883187
