"expression","condition","E1","E2","E3","P"
0.000321478,"wt",1,1,1,1
5.87e-05,"wt",1,1,1,1
0.000533444,"wt",1,1,1,1
3e-06,"promoter",1,1,1,0
2.56e-09,"promoter",1,1,1,0
0.000112388,"enh1",0,1,1,1
0.000312298,"enh1",0,1,1,1
0.000229154,"enh2",1,0,1,1
0.000596844,"enh2",1,0,1,1
0.000280669,"enh2",1,0,1,1
0.000189046,"enh3",1,1,0,1
0.000350718,"enh3",1,1,0,1
0.000440723,"enh3",1,1,0,1
0.000450546,"enh3",1,1,0,1
0.000699388,"enh12",0,0,1,1
0.000371946,"enh12",0,0,1,1
0.000401454,"enh12",0,0,1,1
0.000247511,"enh23",1,0,0,1
0.000287013,"enh23",1,0,0,1
0.000260339,"enh23",1,0,0,1
0.000380049,"enh23",1,0,0,1
0.00064035,"enh123",0,0,0,1
0.000197667,"enh123",0,0,0,1
0.000247502,"enh123",0,0,0,1
0.00017634,"enh123",0,0,0,1
