expression,condition,E1,E2,E3
0.000913029,wt,1,1,1
0.000171913,wt,1,1,1
0.000265929,wt,1,1,1
0.001642376,wt,1,1,1
0.00127968,wt,1,1,1
0.00074882,wt,1,1,1
0.0003861,wt,1,1,1
0.00032249,wt,1,1,1
0.000275978,enh1,0,1,1
0.000183026,enh1,0,1,1
0.000644274,enh2,1,0,1
0.000280882,enh2,1,0,1
0.000279833,enh2,1,0,1
0.000302062,enh3,1,1,0
0.000347574,enh3,1,1,0
0.000201846,enh3,1,1,0
0.000340222,enh3,1,1,0
0.000648402,enh12,0,0,1
0.000493077,enh12,0,0,1
0.000366109,enh12,0,0,1
0.000279339,enh23,1,0,0
0.00042945,enh23,1,0,0
0.000345651,enh23,1,0,0
0.000512134,enh23,1,0,0
0.000766921,enh123,0,0,0
0.000389412,enh123,0,0,0
0.00035831,enh123,0,0,0
8.61E-05,enh123,0,0,0
