TimePoint,expression,condition,E1,E2,E3
0h,0.000913029,wt,1,1,1
4h,0.000321478,wt,1,1,1
8h,0.000328914,wt,1,1,1
12h,0.000661156,wt,1,1,1
24h,0.002033399,wt,1,1,1
48h,0.01144687,wt,1,1,1
0h,0.000171913,wt,1,1,1
4h,5.87E-05,wt,1,1,1
8h,0.000338672,wt,1,1,1
12h,0.000443716,wt,1,1,1
24h,0.003078856,wt,1,1,1
48h,0.00319842,wt,1,1,1
0h,0.000265929,wt,1,1,1
4h,0.000533444,wt,1,1,1
8h,0.000439552,wt,1,1,1
12h,0.001528638,wt,1,1,1
24h,0.00424856,wt,1,1,1
48h,0.01477245,wt,1,1,1
0h,0.001642376,wt,1,1,1
8h,0.001597465,wt,1,1,1
24h,0.01473101,wt,1,1,1
0h,0.00127968,wt,1,1,1
24h,0.01457864,wt,1,1,1
0h,0.00074882,wt,1,1,1
12h,0.00248653,wt,1,1,1
24h,0.00524192,wt,1,1,1
48h,0.00961327,wt,1,1,1
0h,0.0003861,wt,1,1,1
12h,0.00157496,wt,1,1,1
24h,0.00389747,wt,1,1,1
48h,0.00943022,wt,1,1,1
0h,0.00032249,wt,1,1,1
12h,0.00140099,wt,1,1,1
24h,0.00626724,wt,1,1,1
48h,0.016338,wt,1,1,1
0h,0.000275978,enh1,0,1,1
4h,0.000112388,enh1,0,1,1
8h,0.000397985,enh1,0,1,1
12h,0.000427782,enh1,0,1,1
24h,0.002291109,enh1,0,1,1
48h,0.002775062,enh1,0,1,1
0h,0.000183026,enh1,0,1,1
4h,0.000312298,enh1,0,1,1
8h,0.000253389,enh1,0,1,1
12h,0.000431847,enh1,0,1,1
24h,0.00142498,enh1,0,1,1
48h,0.002061059,enh1,0,1,1
0h,0.000644274,enh2,1,0,1
4h,0.000229154,enh2,1,0,1
8h,0.000733022,enh2,1,0,1
12h,0.000942301,enh2,1,0,1
24h,0.003191649,enh2,1,0,1
48h,0.005340729,enh2,1,0,1
0h,0.000280882,enh2,1,0,1
4h,0.000596844,enh2,1,0,1
8h,0.000918033,enh2,1,0,1
12h,0.001735535,enh2,1,0,1
24h,0.004288982,enh2,1,0,1
48h,0.001423064,enh2,1,0,1
0h,0.000279833,enh2,1,0,1
4h,0.000280669,enh2,1,0,1
8h,0.000932025,enh2,1,0,1
12h,0.000522313,enh2,1,0,1
24h,0.002466601,enh2,1,0,1
48h,0.006663756,enh2,1,0,1
0h,0.000302062,enh3,1,1,0
4h,0.000189046,enh3,1,1,0
8h,0.00017327,enh3,1,1,0
12h,0.000435654,enh3,1,1,0
24h,0.000676602,enh3,1,1,0
48h,0.000277172,enh3,1,1,0
0h,0.000347574,enh3,1,1,0
4h,0.000350718,enh3,1,1,0
8h,0.000294908,enh3,1,1,0
12h,0.000217762,enh3,1,1,0
24h,0.00044687,enh3,1,1,0
48h,4.59E-05,enh3,1,1,0
0h,0.000201846,enh3,1,1,0
4h,0.000440723,enh3,1,1,0
8h,0.000258112,enh3,1,1,0
12h,0.000337055,enh3,1,1,0
24h,0.000430875,enh3,1,1,0
48h,0.000655143,enh3,1,1,0
0h,0.000340222,enh3,1,1,0
4h,0.000450546,enh3,1,1,0
8h,0.000509146,enh3,1,1,0
12h,0.000442612,enh3,1,1,0
24h,0.000663876,enh3,1,1,0
48h,0.001840861,enh3,1,1,0
0h,0.000648402,enh12,0,0,1
4h,0.000699388,enh12,0,0,1
8h,0.000766615,enh12,0,0,1
12h,0.001041169,enh12,0,0,1
24h,0.002095923,enh12,0,0,1
48h,0.001524988,enh12,0,0,1
0h,0.000493077,enh12,0,0,1
4h,0.000371946,enh12,0,0,1
8h,0.000601926,enh12,0,0,1
12h,0.000534669,enh12,0,0,1
24h,0.001259758,enh12,0,0,1
48h,0.001025496,enh12,0,0,1
0h,0.000366109,enh12,0,0,1
4h,0.000401454,enh12,0,0,1
8h,0.000383528,enh12,0,0,1
12h,0.00038632,enh12,0,0,1
24h,0.000884382,enh12,0,0,1
48h,0.001016048,enh12,0,0,1
0h,0.000279339,enh23,1,0,0
4h,0.000247511,enh23,1,0,0
8h,0.000182431,enh23,1,0,0
12h,0.000208852,enh23,1,0,0
24h,0.000118622,enh23,1,0,0
48h,0.000276577,enh23,1,0,0
0h,0.00042945,enh23,1,0,0
4h,0.000287013,enh23,1,0,0
8h,0.000202896,enh23,1,0,0
12h,0.000184084,enh23,1,0,0
24h,0.000143233,enh23,1,0,0
48h,0.000299579,enh23,1,0,0
0h,0.000345651,enh23,1,0,0
4h,0.000260339,enh23,1,0,0
8h,0.000262677,enh23,1,0,0
12h,0.00023101,enh23,1,0,0
24h,0.000305851,enh23,1,0,0
48h,0.000254824,enh23,1,0,0
0h,0.000512134,enh23,1,0,0
4h,0.000380049,enh23,1,0,0
8h,0.000225639,enh23,1,0,0
12h,0.000230748,enh23,1,0,0
24h,0.000321555,enh23,1,0,0
48h,0.000625277,enh23,1,0,0
0h,0.000766921,enh123,0,0,0
4h,0.00064035,enh123,0,0,0
8h,0.000486208,enh123,0,0,0
12h,0.000326743,enh123,0,0,0
24h,0.00039891,enh123,0,0,0
48h,0.000162996,enh123,0,0,0
0h,0.000389412,enh123,0,0,0
4h,0.000197667,enh123,0,0,0
8h,0.000101814,enh123,0,0,0
12h,2.74E-05,enh123,0,0,0
24h,1.26E-05,enh123,0,0,0
48h,8.82E-06,enh123,0,0,0
0h,0.00035831,enh123,0,0,0
4h,0.000247502,enh123,0,0,0
8h,0.000163374,enh123,0,0,0
12h,0.000155455,enh123,0,0,0
24h,0.000162043,enh123,0,0,0
48h,0.0001461,enh123,0,0,0
0h,8.61E-05,enh123,0,0,0
4h,0.00017634,enh123,0,0,0
8h,0.000114686,enh123,0,0,0
12h,0.000197373,enh123,0,0,0
24h,0.000256606,enh123,0,0,0
48h,0.000232204,enh123,0,0,0
