"","condition","expression","E1","E2","E3"
"1","WT",141.6,1,1,1
"2","WT",110.68,1,1,1
"3","WT",47.72,1,1,1
"4","WT",114.84,1,1,1
"5","WT",130,1,1,1
"6","WT",62.14,1,1,1
"7","WT",55.39,1,1,1
"8","WT",146.2,1,1,1
"9","WT",91.43,1,1,1
"10","E1a",28.92,0,1,1
"11","E1a",78.5,0,1,1
"12","E1a",21.06,0,1,1
"13","E1a",11.3,0,1,1
"14","E1a",54.79,0,1,1
"15","E1a",47,0,1,1
"16","E1a",20.93,0,1,1
"17","E2",35.84,1,0,1
"18","E2",22.7,1,0,1
"19","E2",23.66,1,0,1
"20","E2",65.87,1,0,1
"21","E2",49.37,1,0,1
"22","E2",15.61,1,0,1
"23","E2",120.1,1,0,1
"24","E2",20.05,1,0,1
"25","E2",113.66,1,0,1
"26","E3",6.54,1,1,0
"27","E3",6.69,1,1,0
"28","E3",4.78,1,1,0
"29","E3",13.17,1,1,0
"30","E3",5.59,1,1,0
"31","E3",6.02,1,1,0
"32","E3",18.63,1,1,0
"33","E1/2",9.5,0,0,1
"34","E1/2",11.87,0,0,1
"35","E1/2",16.67,0,0,1
"36","E2/3",9.35,1,0,0
"37","E2/3",1.27,1,0,0
"38","E2/3",5.81,1,0,0
"39","E1/2/3",0.18,0,0,0
"40","E1/2/3",0.14,0,0,0
"41","E1/2/3",0.07,0,0,0
