"link","error","(Intercept)","E1","E2","E3","error.sd","optim.iter","scale","bic","rel.bic","enhancer.formula","activity.bounds","error.bounds","scale.bounds"
"additive","gaussian",-0.00140384598200011,0.00189201064873761,0.0014119273507404,0.00371941398064028,0.00280771251176439,2000,NA,-232.899989736017,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.001,1.51983563806976,2000,NA,-263.79479499848,-30.894805262463,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-9.34612260919438,1.15484499763159,0.678365151392924,2.51307958137577,0.00254381906361547,2000,NA,-238.427406396666,-5.52741666064864,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-9.1152072783883,0.830391128988053,0.632753379892612,2.43192350446907,0.674646979369862,2000,NA,-309.276198364064,-76.3762086280464,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-141.737289144722,1.13084611674574,0.602208495306148,128.269651143534,0.00255640931001594,2000,842.436710765115,-234.818295329894,-1.91830559387682,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-7.85419305435854,0.834204015878393,0.638172244231131,2.44266179032815,0.674680420313994,2000,0.282443420142944,-305.942507687537,-73.0425179515195,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","gaussian",-0.00140384594253713,0.00189201064124737,0.00141192734408419,0.00371941398637036,0.00280771250172578,5000,NA,-232.899989736017,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.00100000000000002,1.51983564731041,5000,NA,-263.79479499848,-30.894805262463,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-9.34610406908985,1.15484829232414,0.678360924455638,2.51306159353084,0.00254381832394426,5000,NA,-238.427406396865,-5.52741666084776,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-9.11520726140454,0.830391103453683,0.632753372297244,2.43192349205469,0.674646976771906,5000,NA,-309.276198364064,-76.3762086280464,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-16.2090610188896,1.15486079569283,0.678362985212596,2.51288490244648,0.00254381838895228,5000,956.354750954816,-235.095201038799,-2.1952113027821,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-9.30725464523366,0.831185252853726,0.634026091321413,2.43438229350699,0.674653280180691,5000,1.21088486121493,-305.943739660738,-73.0437499247203,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","gaussian",-0.00140384599446448,0.00189201067899083,0.00141192735306428,0.0037194140139644,0.00280771250810761,10000,NA,-232.899989736017,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.00100000000000001,1.51983565674631,10000,NA,-263.79479499848,-30.894805262463,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-9.34610405625724,1.1548482754844,0.67836093112686,2.51306158995533,0.00254381833132997,10000,NA,-238.427406396865,-5.52741666084776,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-9.1152072779942,0.830391124165257,0.632753378381349,2.43192351268256,0.674646980469361,10000,NA,-309.276198364064,-76.3762086280464,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-16.1529480753216,1.15487133547262,0.678363215085585,2.51305373573597,0.0025438183757136,10000,904.010543031136,-235.09520099542,-2.19521125940267,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-10.1665463464856,0.830825650502143,0.633152127836567,2.4329017970727,0.674649389554303,10000,2.86075688619547,-305.943892690804,-73.0439029547871,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
